original,second_part,noun_forms,lemma,genus,compound_forms
klimaunfug,unfug,"['unfugs', 'unfug']",unfug,m,"['klimaunfugs', 'klimaunfug']"
klimaunfähigkeit,unfähigkeit,"['unfähigkeiten', 'unfähigkeit']",unfähigkeit,f,"['klimaunfähigkeiten', 'klimaunfähigkeit']"
klimaungerechtigkeit,ungerechtigkeit,"['ungerechtigkeit', 'ungerechtigkeiten']",ungerechtigkeit,f,"['klimaungerechtigkeit', 'klimaungerechtigkeiten']"
klimaunsinn,unsinn,"['unsinn', 'unsinns', 'unsinne', 'unsinnes']",unsinn,m,"['klimaunsinn', 'klimaunsinns', 'klimaunsinne', 'klimaunsinnes']"
klimauntergang,untergang,"['untergängen', 'untergangs', 'untergang', 'untergange', 'unterganges', 'untergänge']",untergang,m,"['klimauntergängen', 'klimauntergangs', 'klimauntergang', 'klimauntergange', 'klimaunterganges', 'klimauntergänge']"
klimavatikan,vatikan,"['vatikan', 'vatikans']",vatikan,m,"['klimavatikan', 'klimavatikans']"
klimaverblödung,verblödung,['verblödung'],verblödung,f,['klimaverblödung']
klimaverbrechen,verbrechen,"['verbrechen', 'verbrechens']",verbrechen,n,"['klimaverbrechen', 'klimaverbrechens']"
klimaverbrecher,verbrecher,"['verbrechers', 'verbrechern', 'verbrecher']",verbrecher,m,"['klimaverbrechers', 'klimaverbrechern', 'klimaverbrecher']"
klimaverdummung,verdummung,['verdummung'],verdummung,f,['klimaverdummung']
klimaverleugnung,verleugnung,"['verleugnung', 'verleugnungen']",verleugnung,f,"['klimaverleugnung', 'klimaverleugnungen']"
klimavernunft,vernunft,['vernunft'],vernunft,f,['klimavernunft']
klimaverrücktheit,verrücktheit,"['verrücktheit', 'verrücktheiten']",verrücktheit,f,"['klimaverrücktheit', 'klimaverrücktheiten']"
klimaverstand,verstand,"['verstands', 'verstande', 'verstandes', 'verstand']",verstand,m,"['klimaverstands', 'klimaverstande', 'klimaverstandes', 'klimaverstand']"
klimaverteidigung,verteidigung,"['verteidigung', 'verteidigungen']",verteidigung,f,"['klimaverteidigung', 'klimaverteidigungen']"
klimaverweigerung,verweigerung,"['verweigerungen', 'verweigerung']",verweigerung,f,"['klimaverweigerungen', 'klimaverweigerung']"
klimaverwirrung,verwirrung,"['verwirrungen', 'verwirrung']",verwirrung,f,"['klimaverwirrungen', 'klimaverwirrung']"
klimavirus,virus,"['virus', 'viren']",virus,n,"['klimavirus', 'klimaviren']"
klimawahn,wahn,"['wahnen', 'wahne', 'wahnes', 'wahns', 'wahn']",wahn,m,"['klimawahnen', 'klimawahne', 'klimawahnes', 'klimawahns', 'klimawahn']"
klimawahnsinn,wahnsinn,"['wahnsinn', 'wahnsinns']",wahnsinn,m,"['klimawahnsinn', 'klimawahnsinns']"
klimawandler,wandler,"['wandler', 'wandlern', 'wandlers']",wandler,m,"['klimawandler', 'klimawandlern', 'klimawandlers']"
klimawarner,warner,"['warners', 'warner', 'warnern']",warner,m,"['klimawarners', 'klimawarner', 'klimawarnern']"
klimaweltuntergang,weltuntergang,"['weltuntergange', 'weltuntergang', 'weltunterganges', 'weltuntergängen', 'weltuntergangs', 'weltuntergänge']",weltuntergang,m,"['klimaweltuntergange', 'klimaweltuntergang', 'klimaweltunterganges', 'klimaweltuntergängen', 'klimaweltuntergangs', 'klimaweltuntergänge']"
